Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
,epa says private prison company poisoned immigrants  ice facility   decade   blow  nose blood comes  one immigrant reported abolishice    e2w0rlo1ot,georgia esister hic,ResisterChic,2021-03-24T19:29:39.000Z,Wed Mar 24 19:29:39 +0000 2021,7,7,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,https://americanindependent.com/epa-geo-group-immigration-private-prison-company-poisoned-immigrants-at-ice-facility-adelanto/ ,1,0,,
, resurgensc whereprotest atlanta atlantaprotest freeeva abolishice    bnrdc5qn8u,where is the protest in atlanta,WhereProtest,2021-03-24T19:27:35.000Z,Wed Mar 24 19:27:35 +0000 2021,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,4,1,photo,https://pbs.twimg.com/media/ExPivJ9WYAEsoMP.jpg
,blackrock  continually buying geo shares financing  racist moral catastrophe purchasing million shares  october december unblackrockpitzer asktrusteefairbairn abolishice    ieuchrvpdv,malcolm unblackrockpitzer,malcgeomcc,2021-03-24T19:19:38.000Z,Wed Mar 24 19:19:38 +0000 2021,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,3,0,photo,https://pbs.twimg.com/media/ExRAX2vUYAUfaJ1.jpg
,great    private immigration detention facilities endallprivateprisons abolishice stopprivatedetentioncenters    otrnmnsvet,jonesy,JonesyCat22,2021-03-24T19:18:43.000Z,Wed Mar 24 19:18:43 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/kosuradio/status/1374801992879603714 ,3,0,,
,humanitarian volunteers   arizona border  difficult lifesaving work  aid  provide    criminalized abolishice defundpolice    ls0w5d8s5s    cqpugpruoe,aj,SmallBlackBirds,2021-03-24T18:55:04.000Z,Wed Mar 24 18:55:04 +0000 2021,0,0,en,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>",Tweet,https://www.buzzsprout.com/1220975/6548098 ,4,0,photo,https://pbs.twimg.com/media/ExRChLjWUAkpJBq.jpg
,thehill  woman  literally laughed   basically like fuck     dealing      charge    thing    take seriously abolishice,amypond420,AmyPond420_,2021-03-24T18:48:40.000Z,Wed Mar 24 18:48:40 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,1,1,,
,   problem  americans relationship w firearms   feel   much less related   availability      culture  history  violence domination exploitation  denial capitalismkills amerikkka defundthepolice abolishice,crash,1st_Reduce_Harm,2021-03-24T18:34:14.000Z,Wed Mar 24 18:34:14 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,4,0,,
,private prison company poisoned immigrants  adelanto  decades freethemall  abolish  prisons    uqlucnovkn abolishice earthjustice cadignity,stacy villalobos freethemall,StacyVillalobos,2021-03-24T18:23:15.000Z,Wed Mar 24 18:23:15 +0000 2021,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://earthjustice.org/news/press/2021/private-prison-company-poisoned-immigrants-at-adelanto-for-a-decade ,2,2,,
, immigration nnj essex county commissioners  voting   budget  includes millions  revenue  immigrant detention call   5pm  testify   ice contract instructions amp talking points    zhga1ujjkm abolishice freethemall    zhocyneydo,abolish pol ice,SocialistDadNJ,2021-03-24T18:20:53.000Z,Wed Mar 24 18:20:53 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/essex0324 ,2,0,photo,https://pbs.twimg.com/media/ExQziCwXMAMZ_eF.png
,essex county commissioners  voting   budget  includes millions  revenue  immigrant detention call   5pm  testify   ice contract instructions amp talking points    zhga1ujjkm abolishice freethemall    zhocyneydo,nnj dsa immigrant justice,Immigration_NNJ,2021-03-24T17:50:14.000Z,Wed Mar 24 17:50:14 +0000 2021,3,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/essex0324 ,2,0,photo,https://pbs.twimg.com/media/ExQziCwXMAMZ_eF.png
, alyss4nator seattleprotest seattleprotests fuckice abolishice    yxqrfm0eso,pengologist teamagh,Pengologist,2021-03-24T17:49:09.000Z,Wed Mar 24 17:49:09 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/alyss4nator/status/1374776888812466180 ,4,0,,
, ocad chi thank  everyone  joined us last night   forum may  done  conversations   join familiatqlm amp conmijente tonight  4pm pst  hear   crucial organizing work  abolishice amp endtransdetention sign     5ncimoynht    vmf8vhv81k,profe ervin,SolidarityErvin,2021-03-24T17:38:46.000Z,Wed Mar 24 17:38:46 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://bit.ly/FamiliaICEforo https://twitter.com/joshfloresxo/status/1374193651270643717 ,2,2,,
,seattleprotest seattleprotests fuckice abolishice    yxqrfm0eso,alyss4nator,alyss4nator,2021-03-24T17:35:59.000Z,Wed Mar 24 17:35:59 +0000 2021,3,1,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/alyss4nator/status/1374776888812466180 ,4,0,,
,mielegirl tramontela nijc migrantfreedom detentionwatch nazlylaw newman chris erikaandiola abolishice,sally ohle,bakesnaked,2021-03-24T17:29:58.000Z,Wed Mar 24 17:29:58 +0000 2021,1,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,1,8,,
,abolishice    deldxkxy97,ray talkingfilibusterornofilibuster phillips,RayPhillips207,2021-03-24T16:57:54.000Z,Wed Mar 24 16:57:54 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/tramontela/status/1374735661165645828 ,1,0,,
,abolishice    okpj8kpstx,heather lange rn,holdtheday,2021-03-24T16:39:31.000Z,Wed Mar 24 16:39:31 +0000 2021,1,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/HarshaWalia/status/1374746107633278983 ,1,0,,
,maybe   us stops benefiting   labor  federal income taxes   culture maybe     better propaganda writers abolishice immigrationreform migrants buildtheus undocumentedunafraid    zntro7khza,alejandro guizar,AleAlejandro865,2021-03-24T16:31:45.000Z,Wed Mar 24 16:31:45 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/tomilahren/status/1374527724593635329 ,5,0,,
, xulxiyut canat spell colonizer without  ice abolishice,cozcacuauhtli,cozca503,2021-03-24T16:14:43.000Z,Wed Mar 24 16:14:43 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,,
,canat spell colonizer without  ice abolishice,xul xi yut still here,Xulxiyut,2021-03-24T16:10:57.000Z,Wed Mar 24 16:10:57 +0000 2021,38,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,
,  silencing  public  censoring abolishice    un8nuermmb,john mckraken,j_mckraken,2021-03-24T16:00:38.000Z,Wed Mar 24 16:00:38 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/WSDOT_East/status/1374724187848286217 ,1,0,,
,thank  everyone  joined us last night   forum may  done  conversations   join familiatqlm amp conmijente tonight  4pm pst  hear   crucial organizing work  abolishice amp endtransdetention sign     5ncimoynht    vmf8vhv81k,ocad,OCAD_CHI,2021-03-24T15:41:58.000Z,Wed Mar 24 15:41:58 +0000 2021,5,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/FamiliaICEforo https://twitter.com/joshfloresxo/status/1374193651270643717 ,2,2,,
, native4data official u  race categories define  indian  alaska native   person  origins     original peoples  north central amp south america   maintains tribal affiliation  community attachment   indigenous babies   border abolishice,daniel besinaiz,cityplannerd,2021-03-24T15:08:04.000Z,Wed Mar 24 15:08:04 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,0,,
,official u  race categories define  indian  alaska native   person  origins     original peoples  north central amp south america   maintains tribal affiliation  community attachment   indigenous babies   border abolishice,dr dr desi she her,native4data,2021-03-24T15:06:14.000Z,Wed Mar 24 15:06:14 +0000 2021,125,27,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,,
, tramontela still think abolishice   radical read     k26ttpi2lt    vhitapcoze,mielegirl,Mielegirl,2021-03-24T15:02:06.000Z,Wed Mar 24 15:02:06 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.law360.com/immigration/articles/1367485/ice-ordered-to-answer-for-covid-19-death-listed-as-release?about=immigration ,1,0,photo,https://pbs.twimg.com/media/ExQKjmyWYAEiiJJ.png
,tramontela nijc migrantfreedom detentionwatch nazlylaw newman chris erikaandiola abolishice,mielegirl,Mielegirl,2021-03-24T15:02:01.000Z,Wed Mar 24 15:02:01 +0000 2021,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,1,7,,
