Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1374879924746604547,"RT @joshfloresxo : As @familiatqlm works to #FreeTiaEva from ICE Detention  her family needs support to help w/ legal fees to fight her case &amp; release her from ICE
Please consider donating or share the GoFundme #FreeTiaEva #EndTrandDetention #AbolishICE 

https://t.co/27VXI1j0sL",?? ???? ?? ?????????????????.,melodicvibe,2021-03-25T00:24:52.000Z,Thu Mar 25 00:24:52 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.gofundme.com/f/help-free-eva-from-ice ,4,1,,,,,
1374879763815407620,RT @womenbaseball1 : Biden calls for studies into the root causes of migration to the US. JFC!!!! #DefundPentagon #AbolishICE #defundpolice,bcnjsn,bcnjsn,2021-03-25T00:24:14.000Z,Thu Mar 25 00:24:14 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,3,0,,,,,
1374879169587240961,RT @womenbaseball1 : Biden calls for studies into the root causes of migration to the US. JFC!!!! #DefundPentagon #AbolishICE #defundpolice,Juan Martin Guevara ???????,WFooled,2021-03-25T00:21:52.000Z,Thu Mar 25 00:21:52 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,3,0,,,,,
1374877645461069828,"RT @tramontela : Still think #AbolishICE is too ""radical""? Read this????

https://t.co/K26ttpi2lT https://t.co/vHiTAPcoze",camilo perezbustillo,cperezbustillo,2021-03-25T00:15:49.000Z,Thu Mar 25 00:15:49 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.law360.com/immigration/articles/1367485/ice-ordered-to-answer-for-covid-19-death-listed-as-release?about=immigration ,1,0,photo,https://pbs.twimg.com/media/ExQKjmyWYAEiiJJ.png,,,
1374877500233293831,"RT @RebellionBaby : Help Tien fight her deportation case! 

Standing up against hatred toward AAPI includes standing up against the displacement and separation of immigrant families. Fuck ICE! 
#SeattleMutualAid #StopWhiteTerrorism  
#AbolishICE 

https://t.co/UXG8fTrUPX",Greenwood Mutual Aid,GWmutualaid,2021-03-25T00:15:14.000Z,Thu Mar 25 00:15:14 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://www.gofundme.com/f/keep-tien-from-deportation-last-chance ,3,0,,,,,
1374877411725037571,"RT @RebellionBaby : Help Tien fight her deportation case! 

Standing up against hatred toward AAPI includes standing up against the displacement and separation of immigrant families. Fuck ICE! 
#SeattleMutualAid #StopWhiteTerrorism  
#AbolishICE 

https://t.co/UXG8fTrUPX",Sonia,sonialexandra,2021-03-25T00:14:53.000Z,Thu Mar 25 00:14:53 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://www.gofundme.com/f/keep-tien-from-deportation-last-chance ,3,0,,,,,
1374877165448093697,"RT @RebellionBaby : Help Tien fight her deportation case! 

Standing up against hatred toward AAPI includes standing up against the displacement and separation of immigrant families. Fuck ICE! 
#SeattleMutualAid #StopWhiteTerrorism  
#AbolishICE 

https://t.co/UXG8fTrUPX",mike mcghee | commissions open | BLM,mm_mmm,2021-03-25T00:13:54.000Z,Thu Mar 25 00:13:54 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://www.gofundme.com/f/keep-tien-from-deportation-last-chance ,3,0,,,,,
1374875746519318533,"RT @joshfloresxo : As @familiatqlm works to #FreeTiaEva from ICE Detention  her family needs support to help w/ legal fees to fight her case &amp; release her from ICE
Please consider donating or share the GoFundme #FreeTiaEva #EndTrandDetention #AbolishICE 

https://t.co/27VXI1j0sL",Jennicet Gutiérrez,JennicetG,2021-03-25T00:08:16.000Z,Thu Mar 25 00:08:16 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.gofundme.com/f/help-free-eva-from-ice ,4,1,,,,,
1374873486011813890,"RT @GaDetWatch : Check out photos of the local #FirstTen action by #ATL, #Georgia immigration courts &amp; #DowntownConnector

Sign up for events this week: https://t.co/eZQNhuVvVZ
Sign &amp; share petition: https://t.co/YyLjBLw7L7

#AbolishICE #ShutDownStewart #ShutDownFolkston
#CommunitiesNotCages https://t.co/Eg3J3hh7nQ",somos south georgia,SomosSouthGA,2021-03-24T23:59:17.000Z,Wed Mar 24 23:59:17 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/FirstTenAction http://bit.ly/FirstTenPetition ,8,0,photo,https://pbs.twimg.com/media/ExR6Og4XEAEd5HU.jpg,https://pbs.twimg.com/media/ExR6Og2XAAEuZER.jpg,https://pbs.twimg.com/media/ExR6Og8WEAAxSmT.jpg,https://pbs.twimg.com/media/ExR6OhSXEAEzMp1.jpg
1374872695083560964,"RT @GaDetWatch : Check out photos of the local #FirstTen action by #ATL, #Georgia immigration courts &amp; #DowntownConnector

Sign up for events this week: https://t.co/eZQNhuVvVZ
Sign &amp; share petition: https://t.co/YyLjBLw7L7

#AbolishICE #ShutDownStewart #ShutDownFolkston
#CommunitiesNotCages https://t.co/Eg3J3hh7nQ",Leeann Culbreath,motherleeann,2021-03-24T23:56:09.000Z,Wed Mar 24 23:56:09 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/FirstTenAction http://bit.ly/FirstTenPetition ,8,0,photo,https://pbs.twimg.com/media/ExR6Og4XEAEd5HU.jpg,https://pbs.twimg.com/media/ExR6Og2XAAEuZER.jpg,https://pbs.twimg.com/media/ExR6Og8WEAAxSmT.jpg,https://pbs.twimg.com/media/ExR6OhSXEAEzMp1.jpg
